"id","Time","Source","Destination","Protocol","Length","Info","Destination Port","Source Port"
"20","2013-11-08 15:40:39.583014","192.168.2.80","224.0.0.1","BJNP","60","Scanner Command: Discover","canon-bjnp2","61949"
"21","2013-11-08 15:40:39.985598","192.168.2.67","173.194.113.180","TLSv1","103","Application Data","https","55271"
"22","2013-11-08 15:40:40.017197","173.194.113.180","192.168.2.67","TLSv1","127","Application Data","55271","https"
"23","2013-11-08 15:40:40.017263","192.168.2.67","173.194.113.180","TCP","66","55271 > https [ACK] Seq=38 Ack=62 Win=33292 Len=0 TSval=196747627 TSecr=300275430","https","55271"
"24","2013-11-08 15:40:40.017339","173.194.113.180","192.168.2.67","TCP","66","[TCP Previous segment not captured] https > 55271 [FIN, ACK] Seq=103 Ack=38 Win=661 Len=0 TSval=300275430 TSecr=196747596","55271","https"
"25","2013-11-08 15:40:40.017341","173.194.113.180","192.168.2.67","TLSv1","107","[TCP Out-Of-Order] Application Data","55271","https"
"26","2013-11-08 15:40:40.017357","192.168.2.67","173.194.113.180","TCP","66","[TCP Dup ACK 23#1] 55271 > https [ACK] Seq=38 Ack=62 Win=33292 Len=0 TSval=196747627 TSecr=300275430","https","55271"
"27","2013-11-08 15:40:40.017378","192.168.2.67","173.194.113.180","TCP","66","55271 > https [ACK] Seq=38 Ack=104 Win=33272 Len=0 TSval=196747627 TSecr=300275430","https","55271"
"28","2013-11-08 15:40:40.017700","192.168.2.67","173.194.113.180","TCP","66","55271 > https [FIN, ACK] Seq=38 Ack=104 Win=33323 Len=0 TSval=196747627 TSecr=300275430","https","55271"
"29","2013-11-08 15:40:40.023778","192.168.2.67","192.168.2.10","DNS","80","Standard query 0x5dae  A design.fh-potsdam.de","domain","49216"
"30","2013-11-08 15:40:40.046532","173.194.113.180","192.168.2.67","TCP","66","https > 55271 [ACK] Seq=104 Ack=39 Win=661 Len=0 TSval=300275459 TSecr=196747627","55271","https"
"31","2013-11-08 15:40:40.073576","192.168.2.10","192.168.2.67","DNS","96","Standard query response 0x5dae  A 195.10.208.116","49216","domain"
"32","2013-11-08 15:40:40.074204","192.168.2.67","195.10.208.116","TCP","78","55294 > http [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=2 TSval=196747683 TSecr=0 SACK_PERM=1","http","55294"
"33","2013-11-08 15:40:40.138108","195.10.208.116","192.168.2.67","TCP","74","http > 55294 [SYN, ACK] Seq=0 Ack=1 Win=5792 Len=0 MSS=1452 SACK_PERM=1 TSval=2901212081 TSecr=196747683 WS=128","55294","http"
"34","2013-11-08 15:40:40.138201","192.168.2.67","195.10.208.116","TCP","66","55294 > http [ACK] Seq=1 Ack=1 Win=66240 Len=0 TSval=196747746 TSecr=2901212081","http","55294"
"35","2013-11-08 15:40:40.138262","192.168.2.67","195.10.208.116","HTTP","532","GET /fileadmin/templates/gfx/bg_head_fb_a_h.gif HTTP/1.1 ","http","55294"
"36","2013-11-08 15:40:40.197342","192.168.2.81","239.255.255.250","SSDP","337","NOTIFY * HTTP/1.1 ","ssdp","ssdp"
"37","2013-11-08 15:40:40.202721","195.10.208.116","192.168.2.67","TCP","66","http > 55294 [ACK] Seq=1 Ack=467 Win=6912 Len=0 TSval=2901212097 TSecr=196747746","55294","http"
"38","2013-11-08 15:40:40.203638","195.10.208.116","192.168.2.67","HTTP","726","HTTP/1.1 200 OK  (GIF89a) (GIF89a) (image/gif)","55294","http"
"39","2013-11-08 15:40:40.203696","192.168.2.67","195.10.208.116","TCP","66","55294 > http [ACK] Seq=467 Ack=661 Win=65580 Len=0 TSval=196747810 TSecr=2901212097","http","55294"
"40","2013-11-08 15:40:40.504523","192.168.2.81","239.255.255.250","SSDP","381","NOTIFY * HTTP/1.1 ","ssdp","ssdp"
"41","2013-11-08 15:40:41.118938","192.168.2.81","239.255.255.250","SSDP","395","NOTIFY * HTTP/1.1 ","ssdp","ssdp"
"42","2013-11-08 15:40:41.119018","192.168.2.83","192.168.2.255","BJNP","60","Scanner Command: Discover","canon-bjnp2","54389"
"43","2013-11-08 15:40:41.119162","192.168.2.83","224.0.0.1","BJNP","60","Printer Command: Unknown code (2)","canon-bjnp2","50161"
"44","2013-11-08 15:40:41.733306","192.168.2.81","239.255.255.250","SSDP","393","NOTIFY * HTTP/1.1 ","ssdp","ssdp"
"45","2013-11-08 15:40:42.868839","192.168.2.67","192.168.2.255","BJNP","58","Scanner Command: Discover","canon-bjnp2","61307"
"46","2013-11-08 15:40:42.869234","192.168.2.67","224.0.0.1","BJNP","58","Scanner Command: Discover","canon-bjnp2","60167"
"47","2013-11-08 15:40:42.962080","192.168.2.81","239.255.255.250","SSDP","329","NOTIFY * HTTP/1.1 ","ssdp","ssdp"
"48","2013-11-08 15:40:43.269304","192.168.2.81","239.255.255.250","SSDP","337","NOTIFY * HTTP/1.1 ","ssdp","ssdp"
"49","2013-11-08 15:40:43.430045","192.168.2.67","173.194.69.125","TCP","67","[TCP segment of a reassembled PDU]","xmpp-client","51240"
"50","2013-11-08 15:40:43.456892","173.194.69.125","192.168.2.67","TCP","66","xmpp-client > 51240 [ACK] Seq=1 Ack=2 Win=1002 Len=0 TSval=579744686 TSecr=196751031","51240","xmpp-client"
"51","2013-11-08 15:40:43.457000","192.168.2.67","173.194.69.125","TCP","67","[TCP segment of a reassembled PDU]","xmpp-client","51240"
"52","2013-11-08 15:40:43.479758","173.194.69.125","192.168.2.67","TCP","66","xmpp-client > 51240 [ACK] Seq=1 Ack=3 Win=1002 Len=0 TSval=579744709 TSecr=196751057","51240","xmpp-client"
"53","2013-11-08 15:40:43.479859","192.168.2.67","173.194.69.125","TCP","67","[TCP segment of a reassembled PDU]","xmpp-client","51240"
"54","2013-11-08 15:40:43.502894","173.194.69.125","192.168.2.67","TCP","66","xmpp-client > 51240 [ACK] Seq=1 Ack=4 Win=1002 Len=0 TSval=579744732 TSecr=196751079","51240","xmpp-client"
"55","2013-11-08 15:40:43.502991","192.168.2.67","173.194.69.125","TCP","67","[TCP segment of a reassembled PDU]","xmpp-client","51240"
"56","2013-11-08 15:40:43.526372","173.194.69.125","192.168.2.67","TCP","66","xmpp-client > 51240 [ACK] Seq=1 Ack=5 Win=1002 Len=0 TSval=579744755 TSecr=196751101","51240","xmpp-client"
"57","2013-11-08 15:40:43.526523","192.168.2.67","173.194.69.125","TCP","67","[TCP segment of a reassembled PDU]","xmpp-client","51240"
"58","2013-11-08 15:40:43.549350","173.194.69.125","192.168.2.67","TCP","66","xmpp-client > 51240 [ACK] Seq=1 Ack=6 Win=1002 Len=0 TSval=579744778 TSecr=196751124","51240","xmpp-client"
"59","2013-11-08 15:40:43.549484","192.168.2.67","173.194.69.125","TCP","67","[TCP segment of a reassembled PDU]","xmpp-client","51240"
"60","2013-11-08 15:40:43.572518","173.194.69.125","192.168.2.67","TCP","66","xmpp-client > 51240 [ACK] Seq=1 Ack=7 Win=1002 Len=0 TSval=579744801 TSecr=196751146","51240","xmpp-client"
"61","2013-11-08 15:40:43.572926","192.168.2.67","173.194.69.125","TCP","67","[TCP segment of a reassembled PDU]","xmpp-client","51240"
"62","2013-11-08 15:40:43.576477","192.168.2.81","239.255.255.250","SSDP","381","NOTIFY * HTTP/1.1 ","ssdp","ssdp"
"63","2013-11-08 15:40:43.595745","173.194.69.125","192.168.2.67","TCP","66","xmpp-client > 51240 [ACK] Seq=1 Ack=8 Win=1002 Len=0 TSval=579744825 TSecr=196751169","51240","xmpp-client"
"64","2013-11-08 15:40:43.595954","192.168.2.67","173.194.69.125","TCP","67","[TCP segment of a reassembled PDU]","xmpp-client","51240"
"65","2013-11-08 15:40:43.619677","173.194.69.125","192.168.2.67","TCP","66","xmpp-client > 51240 [ACK] Seq=1 Ack=9 Win=1002 Len=0 TSval=579744848 TSecr=196751191","51240","xmpp-client"
"66","2013-11-08 15:40:43.619791","192.168.2.67","173.194.69.125","TCP","67","[TCP segment of a reassembled PDU]","xmpp-client","51240"
"67","2013-11-08 15:40:43.642808","173.194.69.125","192.168.2.67","TCP","66","xmpp-client > 51240 [ACK] Seq=1 Ack=10 Win=1002 Len=0 TSval=579744871 TSecr=196751214","51240","xmpp-client"
"68","2013-11-08 15:40:43.642950","192.168.2.67","173.194.69.125","TCP","67","[TCP segment of a reassembled PDU]","xmpp-client","51240"
"69","2013-11-08 15:40:43.665795","173.194.69.125","192.168.2.67","TCP","66","xmpp-client > 51240 [ACK] Seq=1 Ack=11 Win=1002 Len=0 TSval=579744895 TSecr=196751237","51240","xmpp-client"
"70","2013-11-08 15:40:43.665933","192.168.2.67","173.194.69.125","TCP","67","[TCP segment of a reassembled PDU]","xmpp-client","51240"
"71","2013-11-08 15:40:43.688995","173.194.69.125","192.168.2.67","TCP","66","xmpp-client > 51240 [ACK] Seq=1 Ack=12 Win=1002 Len=0 TSval=579744918 TSecr=196751259","51240","xmpp-client"
"72","2013-11-08 15:40:43.689262","192.168.2.67","173.194.69.125","TCP","67","[TCP segment of a reassembled PDU]","xmpp-client","51240"
"73","2013-11-08 15:40:43.714285","173.194.69.125","192.168.2.67","TCP","66","xmpp-client > 51240 [ACK] Seq=1 Ack=13 Win=1002 Len=0 TSval=579744943 TSecr=196751282","51240","xmpp-client"
"74","2013-11-08 15:40:43.714433","192.168.2.67","173.194.69.125","TCP","67","[TCP segment of a reassembled PDU]","xmpp-client","51240"
"75","2013-11-08 15:40:43.737610","173.194.69.125","192.168.2.67","TCP","66","xmpp-client > 51240 [ACK] Seq=1 Ack=14 Win=1002 Len=0 TSval=579744966 TSecr=196751307","51240","xmpp-client"
"76","2013-11-08 15:40:43.737704","192.168.2.67","173.194.69.125","TCP","67","[TCP segment of a reassembled PDU]","xmpp-client","51240"
"77","2013-11-08 15:40:43.760682","173.194.69.125","192.168.2.67","TCP","66","xmpp-client > 51240 [ACK] Seq=1 Ack=15 Win=1002 Len=0 TSval=579744989 TSecr=196751329","51240","xmpp-client"
"78","2013-11-08 15:40:43.760819","192.168.2.67","173.194.69.125","TCP","67","[TCP segment of a reassembled PDU]","xmpp-client","51240"
"79","2013-11-08 15:40:43.785362","173.194.69.125","192.168.2.67","TCP","66","xmpp-client > 51240 [ACK] Seq=1 Ack=16 Win=1002 Len=0 TSval=579745014 TSecr=196751352","51240","xmpp-client"
"80","2013-11-08 15:40:43.785501","192.168.2.67","173.194.69.125","TCP","67","[TCP segment of a reassembled PDU]","xmpp-client","51240"
"81","2013-11-08 15:40:43.809248","173.194.69.125","192.168.2.67","TCP","66","xmpp-client > 51240 [ACK] Seq=1 Ack=17 Win=1002 Len=0 TSval=579745038 TSecr=196751376","51240","xmpp-client"
"82","2013-11-08 15:40:43.809418","192.168.2.67","173.194.69.125","TCP","67","[TCP segment of a reassembled PDU]","xmpp-client","51240"
"83","2013-11-08 15:40:43.833856","173.194.69.125","192.168.2.67","TCP","66","xmpp-client > 51240 [ACK] Seq=1 Ack=18 Win=1002 Len=0 TSval=579745061 TSecr=196751399","51240","xmpp-client"
"84","2013-11-08 15:40:43.833996","192.168.2.67","173.194.69.125","TCP","67","[TCP segment of a reassembled PDU]","xmpp-client","51240"
"85","2013-11-08 15:40:43.841287","107.23.104.135","192.168.2.67","TLSv1","96","Application Data","51247","https"
"86","2013-11-08 15:40:43.841355","192.168.2.67","107.23.104.135","TCP","66","51247 > https [ACK] Seq=1 Ack=31 Win=33105 Len=0 TSval=196751429 TSecr=1900639630","https","51247"
"87","2013-11-08 15:40:43.842269","192.168.2.67","107.23.104.135","TLSv1","100","Application Data","https","51247"
"88","2013-11-08 15:40:43.857242","173.194.69.125","192.168.2.67","TCP","66","xmpp-client > 51240 [ACK] Seq=1 Ack=19 Win=1002 Len=0 TSval=579745086 TSecr=196751422","51240","xmpp-client"
"89","2013-11-08 15:40:43.859469","192.168.2.67","173.194.69.125","TCP","67","[TCP segment of a reassembled PDU]","xmpp-client","51240"
"90","2013-11-08 15:40:43.883772","192.168.2.94","255.255.255.255","DB-LSP-DISC","215","Dropbox LAN sync Discovery Protocol","db-lsp-disc","db-lsp-disc"
"91","2013-11-08 15:40:43.883988","192.168.2.94","192.168.2.255","DB-LSP-DISC","215","Dropbox LAN sync Discovery Protocol","db-lsp-disc","db-lsp-disc"
"92","2013-11-08 15:40:43.884050","173.194.69.125","192.168.2.67","TCP","66","xmpp-client > 51240 [ACK] Seq=1 Ack=20 Win=1002 Len=0 TSval=579745112 TSecr=196751446","51240","xmpp-client"
"93","2013-11-08 15:40:43.884634","192.168.2.67","173.194.69.125","TCP","67","[TCP segment of a reassembled PDU]","xmpp-client","51240"
"94","2013-11-08 15:40:43.908296","173.194.69.125","192.168.2.67","TCP","66","xmpp-client > 51240 [ACK] Seq=1 Ack=21 Win=1002 Len=0 TSval=579745137 TSecr=196751470","51240","xmpp-client"
"95","2013-11-08 15:40:43.908435","192.168.2.67","173.194.69.125","TCP","67","[TCP segment of a reassembled PDU]","xmpp-client","51240"
"96","2013-11-08 15:40:43.931889","173.194.69.125","192.168.2.67","TCP","66","xmpp-client > 51240 [ACK] Seq=1 Ack=22 Win=1002 Len=0 TSval=579745160 TSecr=196751494","51240","xmpp-client"
"97","2013-11-08 15:40:43.931991","192.168.2.67","173.194.69.125","TCP","67","[TCP segment of a reassembled PDU]","xmpp-client","51240"
"98","2013-11-08 15:40:43.954930","173.194.69.125","192.168.2.67","TCP","66","xmpp-client > 51240 [ACK] Seq=1 Ack=23 Win=1002 Len=0 TSval=579745183 TSecr=196751516","51240","xmpp-client"
"99","2013-11-08 15:40:43.955729","192.168.2.67","173.194.69.125","TCP","67","[TCP segment of a reassembled PDU]","xmpp-client","51240"
"100","2013-11-08 15:40:43.956371","192.168.2.67","192.168.2.87","UDP","149","Source port: 36283  Destination port: 20705","20705","36283"
"101","2013-11-08 15:40:43.956525","192.168.2.67","213.199.179.155","UDP","76","Source port: 36283  Destination port: 40030","40030","36283"
"102","2013-11-08 15:40:43.956559","192.168.2.67","111.221.74.12","UDP","74","Source port: 36283  Destination port: 40024","40024","36283"
"103","2013-11-08 15:40:43.965651","107.23.104.135","192.168.2.67","TCP","66","https > 51247 [ACK] Seq=31 Ack=35 Win=331 Len=0 TSval=1900639661 TSecr=196751429","51247","https"
"104","2013-11-08 15:40:43.979732","173.194.69.125","192.168.2.67","TCP","66","xmpp-client > 51240 [ACK] Seq=1 Ack=24 Win=1002 Len=0 TSval=579745208 TSecr=196751539","51240","xmpp-client"
"105","2013-11-08 15:40:43.979865","192.168.2.67","173.194.69.125","TCP","67","[TCP segment of a reassembled PDU]","xmpp-client","51240"
"106","2013-11-08 15:40:44.003223","173.194.69.125","192.168.2.67","TCP","66","xmpp-client > 51240 [ACK] Seq=1 Ack=25 Win=1002 Len=0 TSval=579745232 TSecr=196751563","51240","xmpp-client"
"107","2013-11-08 15:40:44.003361","192.168.2.67","173.194.69.125","TCP","67","[TCP segment of a reassembled PDU]","xmpp-client","51240"
"108","2013-11-08 15:40:44.006297","213.199.179.155","192.168.2.67","UDP","62","Source port: 40030  Destination port: 36283","36283","40030"
"109","2013-11-08 15:40:44.026550","173.194.69.125","192.168.2.67","TCP","66","xmpp-client > 51240 [ACK] Seq=1 Ack=26 Win=1002 Len=0 TSval=579745255 TSecr=196751585","51240","xmpp-client"
"110","2013-11-08 15:40:44.026685","192.168.2.67","173.194.69.125","TCP","67","[TCP segment of a reassembled PDU]","xmpp-client","51240"
"111","2013-11-08 15:40:44.049781","173.194.69.125","192.168.2.67","TCP","66","xmpp-client > 51240 [ACK] Seq=1 Ack=27 Win=1002 Len=0 TSval=579745279 TSecr=196751608","51240","xmpp-client"
"112","2013-11-08 15:40:44.190940","192.168.2.81","239.255.255.250","SSDP","395","NOTIFY * HTTP/1.1 ","ssdp","ssdp"
"113","2013-11-08 15:40:44.190989","IntelCor_4b:44:9d","Broadcast","ARP","42","Who has 192.168.2.67?  Tell 192.168.2.87","",""
"114","2013-11-08 15:40:44.191023","Apple_0b:4d:6e","IntelCor_4b:44:9d","ARP","42","192.168.2.67 is at 00:26:bb:0b:4d:6e","",""
"115","2013-11-08 15:40:44.199912","111.221.74.12","192.168.2.67","UDP","62","Source port: 40024  Destination port: 36283","36283","40024"
"116","2013-11-08 15:40:44.215060","192.168.2.87","192.168.2.67","UDP","90","Source port: 20705  Destination port: 36283","36283","20705"
"117","2013-11-08 15:40:45.112605","192.168.2.81","239.255.255.250","SSDP","393","NOTIFY * HTTP/1.1 ","ssdp","ssdp"
"118","2013-11-08 15:40:45.112675","192.168.2.78","192.168.2.255","BJNP","58","Scanner Command: Discover","canon-bjnp2","59725"
"119","2013-11-08 15:40:45.112807","192.168.2.78","224.0.0.1","BJNP","58","Printer Command: Unknown code (2)","canon-bjnp2","53890"
"120","2013-11-08 15:40:45.113355","fa:c2:75:a9:05:c4","Apple_0b:4d:6e","ARP","60","Who has 192.168.2.67?  Tell 192.168.2.10","",""
"121","2013-11-08 15:40:45.113392","Apple_0b:4d:6e","fa:c2:75:a9:05:c4","ARP","42","192.168.2.67 is at 00:26:bb:0b:4d:6e","",""
"122","2013-11-08 15:40:45.204155","192.168.2.67","195.10.208.116","TCP","66","55294 > http [FIN, ACK] Seq=467 Ack=661 Win=66240 Len=0 TSval=196752782 TSecr=2901212097","http","55294"
"123","2013-11-08 15:40:45.257159","195.10.208.116","192.168.2.67","TCP","66","http > 55294 [FIN, ACK] Seq=661 Ack=468 Win=6912 Len=0 TSval=2901213363 TSecr=196752782","55294","http"
"124","2013-11-08 15:40:45.257228","192.168.2.67","195.10.208.116","TCP","66","55294 > http [ACK] Seq=468 Ack=662 Win=66240 Len=0 TSval=196752835 TSecr=2901213363","http","55294"
"125","2013-11-08 15:40:46.234229","192.168.2.67","192.168.2.10","DNS","69","Standard query 0x384e  A incom.org","domain","55537"
"126","2013-11-08 15:40:46.422914","192.168.2.10","192.168.2.67","DNS","85","Standard query response 0x384e  A 46.231.178.12","55537","domain"
"127","2013-11-08 15:40:46.424436","192.168.2.67","46.231.178.12","TCP","78","55296 > https [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=2 TSval=196753998 TSecr=0 SACK_PERM=1","https","55296"
"128","2013-11-08 15:40:46.448424","46.231.178.12","192.168.2.67","TCP","74","https > 55296 [SYN, ACK] Seq=0 Ack=1 Win=14480 Len=0 MSS=1452 SACK_PERM=1 TSval=2824879098 TSecr=196753998 WS=128","55296","https"
"129","2013-11-08 15:40:46.448511","192.168.2.67","46.231.178.12","TCP","66","55296 > https [ACK] Seq=1 Ack=1 Win=66240 Len=0 TSval=196754021 TSecr=2824879098","https","55296"
"130","2013-11-08 15:40:46.448966","192.168.2.67","46.231.178.12","TLSv1","472","Client Hello","https","55296"
"131","2013-11-08 15:40:46.473262","46.231.178.12","192.168.2.67","TCP","66","https > 55296 [ACK] Seq=1 Ack=407 Win=15616 Len=0 TSval=2824879123 TSecr=196754021","55296","https"
"132","2013-11-08 15:40:46.482516","46.231.178.12","192.168.2.67","TLSv1","1506","Alert (Level: Warning, Description: Unrecognized Name), Server Hello","55296","https"
"133","2013-11-08 15:40:46.483309","46.231.178.12","192.168.2.67","TLSv1","1506","Certificate","55296","https"
"134","2013-11-08 15:40:46.483348","192.168.2.67","46.231.178.12","TCP","66","55296 > https [ACK] Seq=407 Ack=2881 Win=64800 Len=0 TSval=196754054 TSecr=2824879132","https","55296"
"135","2013-11-08 15:40:46.483966","46.231.178.12","192.168.2.67","TLSv1","90","Server Key Exchange","55296","https"
"136","2013-11-08 15:40:46.483993","192.168.2.67","46.231.178.12","TCP","66","55296 > https [ACK] Seq=407 Ack=2905 Win=66216 Len=0 TSval=196754055 TSecr=2824879132","https","55296"
"137","2013-11-08 15:40:46.486794","192.168.2.67","46.231.178.12","TLSv1","264","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message","https","55296"
"138","2013-11-08 15:40:46.488570","192.168.2.67","192.168.2.10","DNS","83","Standard query 0x6690  A gtssl-ocsp.geotrust.com","domain","49518"
"139","2013-11-08 15:40:46.513540","46.231.178.12","192.168.2.67","TLSv1","125","Change Cipher Spec, Encrypted Handshake Message","55296","https"
"140","2013-11-08 15:40:46.513605","192.168.2.67","46.231.178.12","TCP","66","55296 > https [ACK] Seq=605 Ack=2964 Win=66180 Len=0 TSval=196754083 TSecr=2824879163","https","55296"
"141","2013-11-08 15:40:46.575170","192.168.2.10","192.168.2.67","DNS","130","Standard query response 0x6690  CNAME ocsp.verisign.net A 199.7.59.72","49518","domain"
"142","2013-11-08 15:40:46.578058","192.168.2.67","199.7.59.72","TCP","78","55298 > http [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=2 TSval=196754147 TSecr=0 SACK_PERM=1","http","55298"
"143","2013-11-08 15:40:46.648344","192.168.2.80","192.168.2.255","BJNP","60","Scanner Command: Discover","canon-bjnp2","62849"
"144","2013-11-08 15:40:46.648381","192.168.2.80","224.0.0.1","BJNP","60","Scanner Command: Discover","canon-bjnp2","51917"
"145","2013-11-08 15:40:46.711165","199.7.59.72","192.168.2.67","TCP","60","http > 55298 [SYN, ACK] Seq=0 Ack=1 Win=8190 Len=0 MSS=1440","55298","http"
"146","2013-11-08 15:40:46.711280","192.168.2.67","199.7.59.72","TCP","54","55298 > http [ACK] Seq=1 Ack=1 Win=65535 Len=0","http","55298"
"147","2013-11-08 15:40:46.711487","192.168.2.67","199.7.59.72","TCP","443","[TCP segment of a reassembled PDU]","http","55298"
"148","2013-11-08 15:40:46.711513","192.168.2.67","199.7.59.72","OCSP","156","Request","http","55298"
"149","2013-11-08 15:40:46.844012","199.7.59.72","192.168.2.67","TCP","60","http > 55298 [ACK] Seq=1 Ack=390 Win=7801 Len=0","55298","http"
"150","2013-11-08 15:40:46.844789","199.7.59.72","192.168.2.67","TCP","60","http > 55298 [ACK] Seq=1 Ack=492 Win=7699 Len=0","55298","http"
"151","2013-11-08 15:40:46.848793","199.7.59.72","192.168.2.67","TCP","1494","[TCP segment of a reassembled PDU]","55298","http"
"152","2013-11-08 15:40:46.848950","199.7.59.72","192.168.2.67","TCP","60","[TCP Previous segment not captured] http > 55298 [FIN, ACK] Seq=1773 Ack=492 Win=7699 Len=0","55298","http"
"153","2013-11-08 15:40:46.848977","199.7.59.72","192.168.2.67","OCSP","386","[TCP Out-Of-Order] Response","55298","http"
"154","2013-11-08 15:40:46.848997","192.168.2.67","199.7.59.72","TCP","54","55298 > http [ACK] Seq=492 Ack=1441 Win=65535 Len=0","http","55298"
"155","2013-11-08 15:40:46.849048","192.168.2.67","199.7.59.72","TCP","54","55298 > http [ACK] Seq=492 Ack=1774 Win=65535 Len=0","http","55298"
"156","2013-11-08 15:40:46.849521","192.168.2.67","199.7.59.72","TCP","54","55298 > http [FIN, ACK] Seq=492 Ack=1774 Win=65535 Len=0","http","55298"
"157","2013-11-08 15:40:46.852969","192.168.2.67","46.231.178.12","TLSv1","620","Application Data, Application Data","https","55296"
"158","2013-11-08 15:40:46.915622","46.231.178.12","192.168.2.67","TCP","66","https > 55296 [ACK] Seq=2964 Ack=1159 Win=17792 Len=0 TSval=2824879566 TSecr=196754419","55296","https"
"159","2013-11-08 15:40:46.982553","199.7.59.72","192.168.2.67","TCP","60","http > 55298 [ACK] Seq=1774 Ack=493 Win=7699 Len=0","55298","http"
"160","2013-11-08 15:40:47.108315","46.231.178.12","192.168.2.67","TLSv1","1506","Application Data","55296","https"
"161","2013-11-08 15:40:47.108579","46.231.178.12","192.168.2.67","TCP","1506","[TCP segment of a reassembled PDU]","55296","https"
"162","2013-11-08 15:40:47.108601","192.168.2.67","46.231.178.12","TCP","66","55296 > https [ACK] Seq=1159 Ack=5844 Win=64800 Len=0 TSval=196754671 TSecr=2824879757","https","55296"
"163","2013-11-08 15:40:47.108659","46.231.178.12","192.168.2.67","TCP","1506","[TCP segment of a reassembled PDU]","55296","https"
"164","2013-11-08 15:40:47.108698","192.168.2.67","46.231.178.12","TCP","66","55296 > https [ACK] Seq=1159 Ack=7284 Win=66240 Len=0 TSval=196754671 TSecr=2824879757","https","55296"
"165","2013-11-08 15:40:47.111068","46.231.178.12","192.168.2.67","TCP","1506","[TCP segment of a reassembled PDU]","55296","https"
"166","2013-11-08 15:40:47.111072","46.231.178.12","192.168.2.67","TCP","1506","[TCP segment of a reassembled PDU]","55296","https"
"167","2013-11-08 15:40:47.111107","192.168.2.67","46.231.178.12","TCP","66","55296 > https [ACK] Seq=1159 Ack=10164 Win=63360 Len=0 TSval=196754673 TSecr=2824879757","https","55296"
"168","2013-11-08 15:40:47.111199","46.231.178.12","192.168.2.67","TCP","1506","[TCP segment of a reassembled PDU]","55296","https"
